"Post ID","Page ID","Page name",Title,Description,"Duration (secs)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,"Seconds viewed","Average Seconds viewed",Comments,Likes,Shares,"People reached",Impressions,"Reels plays","60-second video views","3-second video views","Other clicks","Photo views","Unique 60-second video views",Engagements,"Engaged users","Overall negative feedback","3-second viewers","Unique negative feedback from users","Views by top audience (65+)","Views by top audience (55-64)","Views by top audience (45-54)","Views by top audience (35-44)","Views by top audience (25-34)","Views by top audience (18-24)","Views by top audience (13-17)","Views by top audience (65+, M)","Views by top audience (65+, F)","Views by top audience (55-64, M)","Views by top audience (55-64, F)","Views by top audience (45-54, M)","Views by top audience (45-54, F)","Views by top audience (35-44, M)","Views by top audience (35-44, F)","Views by top audience (25-34, M)","Views by top audience (25-34, F)","Views by top audience (18-24, M)","Views by top audience (18-24, F)","Views by top audience (13-17, M)","Views by top audience (13-17, F)","Views by top audience (M)","Views by top audience (F)","Views by country (Saudi Arabia (SA))","Views by country (Bangladesh (BD))","Views by country (India (IN))","Views by country (Pakistan (PK))","Views by country (Nepal (NP))","Views by country (Indonesia (ID))","Views by country (Nigeria (NG))","Views by country (Mexico (MX))","Views by country (Myanmar (MM))","Views by country (Uzbekistan (UZ))","Views by country (Germany (DE))","Views by country (Sierra Leone (SL))","Views by country (Mongolia (MN))","Views by country (Greece (GR))","Views by country (Morocco (MA))","Views by country (Brazil (BR))","Views by country (Colombia (CO))","Views by country (Australia (AU))","Views by country (Italy (IT))","Views by country (Romania (RO))","Views by country (Canada (CA))","Views by country (United Kingdom (GB))","Views by country (Iran (IR))","Views by country (United Arab Emirates (AE))","Views by country (United States (US))","Views by country (Cambodia (KH))","Views by country (Egypt (EG))","Views by country (France (FR))","Views by country (Fiji (FJ))","Views by country (Algeria (DZ))","Views by country (Bhutan (BT))","Views by country (Afghanistan (AF))","Views by country (Qatar (QA))","Views by country (Spain (ES))","Views by country (Portugal (PT))","Views by country (New Zealand (NZ))","Views by country (Mauritius (MU))","Views by country (Malaysia (MY))"
122102115998198697,247903501729335,HU.co,,"""Laugh, love, live! Your go-to source for daily entertainment. Elevate your moments with laughter, trends, and pure joy. Join us now!""

Follow us for more videos 🎥🎞",0,"01/29/2024 23:01",N/A,https://www.facebook.com/hu.4113/posts/pfbid028CQAJk9XXqVh9A6AekEKwDqocfNHh5XohpVCRi8jxtAyHrbZWVFHPUsYhype2HS9l,0,0,Photo,,,,,Lifetime,,,0,3,0,69,74,,0,0,,,0,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122103057638198697,247903501729335,HU.co,,"KHAIE

#pakistanidrama 
#Khaie 
#FaisalQureshi 
#latestepisode",261,"01/31/2024 00:01",N/A,https://www.facebook.com/hu.4113/posts/pfbid033bi22cBj2Bg3oh99ipcsNkanb61zfjkLi2WjnP2kjJQGUvmYfVWnXEtc6kBjgUn5l,0,0,Video,,,,,Lifetime,1018.84,18.87,0,4,0,30,41,,3,29,,,2,4,4,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122103927782198697,247903501729335,HU.co,,"KHAIE
#pakistanidrama 
#Khaie 
#FaisalQureshi 
#latestepisode",359,"01/31/2024 23:01",N/A,https://www.facebook.com/hu.4113/posts/pfbid02e8x4HNBsY4ppZMkbv3GaZ1oYmXmNeuaPwQzQmGwNJyvdzbEL3tHidwKK4gJWyWEfl,0,0,Video,,,,,Lifetime,604.03,8.39,0,5,0,54,67,,1,28,1,,1,6,5,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122104764038198697,247903501729335,HU.co,,"KHAIE
#pakistanidrama 
#Khaie 
#FaisalQureshi 
#latestepisode",297,"02/01/2024 21:02",N/A,https://www.facebook.com/hu.4113/posts/pfbid031TRiPyJCY1EQEN9cHoR8gT2UWhY7MAfcjBjey4JUpuLMJdnuiMaRiShVH1Ta3yv4l,0,0,Video,,,,,Lifetime,1585.21,13.55,0,3,0,85,95,,6,56,4,,6,7,6,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122104898222198697,247903501729335,HU.co,,"KHAIE
#pakistanidrama 
#Khaie 
#FaisalQureshi 
#latestepisode",166,"02/02/2024 01:02",N/A,https://www.facebook.com/hu.4113/posts/pfbid0ARbYCVFyPBheqUqfttLmU77qZhjn89paqykSxspQY7ikQ9MFb6kJkDihELEXgVULl,0,0,Video,,,,,Lifetime,856.73,11.58,0,3,0,67,83,,4,28,2,,4,5,5,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122105004392198697,247903501729335,HU.co,,"KHAIE
#pakistanidrama 
#Khaie 
#FaisalQureshi 
#latestepisode",272,"02/02/2024 04:02",N/A,https://www.facebook.com/hu.4113/posts/pfbid02UxmZsmN7bGZzjV2avgaSkvXxEZ2ofqLYhUCP1RhuDZgN7GukbTjdiCdzWX4MxGLml,0,0,Video,,,,,Lifetime,635.52,7.57,0,5,0,35,49,,1,31,2,,1,7,4,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122105717456198697,247903501729335,HU.co,,"KHAIE
#pakistanidrama 
#Khaie 
#FaisalQureshi 
#latestepisode",175,"02/02/2024 22:02",N/A,https://www.facebook.com/hu.4113/posts/pfbid02sa49DCU4XQWXxG9NYGLyCisVDeriURV9gCGASGUQWKkyQ469EBm2bWoMoxb5mzY6l,0,0,Video,,,,,Lifetime,1033.06,13.96,0,6,0,53,69,,4,24,1,,3,7,6,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122105906906198697,247903501729335,HU.co,,"Ishq Murshid

#DureFishan 
#bilalabbas 
#IshqMurshid 
#pakistanidrama 
#latestepisode",162,"02/03/2024 03:02",N/A,https://www.facebook.com/hu.4113/posts/pfbid02KuMoCjLPCvDRjWxx3dXVL6rvUDDCZ6fMVdc5UkmouV6uiBvFss7wS3dHvMZEZXGRl,0,0,Video,,,,,Lifetime,654.79,6.18,0,6,0,96,112,,2,29,3,,2,9,8,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122107711220198697,247903501729335,HU.co,,"Ishq Murshid
#DureFishan 
#bilalabbas 
#IshqMurshid 
#pakistanidrama 
#latestepisode",119,"02/04/2024 23:02",N/A,https://www.facebook.com/hu.4113/posts/pfbid02T5n3qW935PqNUXgeXpTzYGY3dwjyQ1ZaZYbz9qQ73kZadxs7jjNFTxurtM76vqE6l,0,0,Video,,,,,Lifetime,3025.84,12.45,0,11,0,250,262,,17,121,9,,17,20,18,0,114,0,10,12,18,27,29,23,2,7,3,10,2,15,3,21,6,26,3,17,6,2,0,98,23,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122107890326198697,247903501729335,HU.co,,"KHAIE
#pakistanidrama 
#Khaie 
#FaisalQureshi 
#latestepisode",153,"02/05/2024 03:02",N/A,https://www.facebook.com/hu.4113/posts/pfbid0xCvwi9tFm7MbHmZ5W3bAwHmogy5Bm8yEkKpsJ4doFt5LXzAaaNu7hEGEt5MbFnmal,0,0,Video,,,,,Lifetime,7461.06,30.33,0,7,0,83,93,,45,110,1,,6,8,7,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
