Post ID	Page ID	Page name	Title	Description	Duration (secs)	Publish time	Caption type	Permalink	Is crosspost	Is share	Post type	Languages	Custom labels	Funded content status	Data comment	Date	Engagements	Comments	Likes	Shares	Impressions	Reels plays	People reached	Ad impressions	Seconds viewed	Average Seconds viewed	3-second video views	Total clicks	Other clicks	Photo views	Article daily scroll depth	60-second video views	3-second viewers	Overall negative feedback	Unique negative feedback from users	Article average time spent	Unique 60-second video views	Engaged users	Ad CPM (USD)	Estimated earnings (USD)	"Views by top audience (13-17, M)"	"Views by top audience (13-17, F)"	"Views by top audience (25-34, M)"	"Views by top audience (25-34, F)"	"Views by top audience (18-24, M)"	"Views by top audience (18-24, F)"	"Views by top audience (65+, M)"	"Views by top audience (65+, F)"	"Views by top audience (55-64, M)"	"Views by top audience (55-64, F)"	"Views by top audience (45-54, M)"	"Views by top audience (45-54, F)"	"Views by top audience (35-44, M)"	"Views by top audience (35-44, F)"	Views by top audience (M)	Views by top audience (F)	Views by top audience (65+)	Views by top audience (55-64)	Views by top audience (45-54)	Views by top audience (35-44)	Views by top audience (25-34)	Views by top audience (18-24)	Views by top audience (13-17)	Views by country (Portugal (PT))	Views by country (United Kingdom (GB))	Views by country (Bangladesh (BD))	Views by country (India (IN))	Views by country (Pakistan (PK))	Views by country (Saudi Arabia (SA))	Views by country (New Zealand (NZ))
1.22122E+17	2.47904E+14	HU.co		"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending"	198	2/25/2024 5:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid0oKTSG9hQpbgkkRWT7WQA4KqBywpzQNF78AV1gMjjXVY2qwC5RZvrfGxSQ1dPHNgxl	0	0	Video					Lifetime	15	0	15	0	277		256	0	2295.84	9.49	101	11	11		0	6	89	0	0	0	5	23	0	0																														
1.22122E+17	2.47904E+14	HU.co		"ISHQ MURSHID 
#ishqmurshid #humtv #bilalabbaskhan #moomalentertainment #farooqrind #mdproductions #durefishansaleem #abdulkhaliqkhan #excitement #masterpaints #bilalabbas #yumnazaidi #wahajali #ayezakhan #humpr #humtvdramas #comingsoon #hibabukhari #sabaqamar #haniaamir #ferozekhan #muneebbutt #minalkhan #ahadrazamir #sajalaly #psu #farhansaeed #terebin #zaranoor #haroonkadwani"	61	2/25/2024 7:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid0xJcB1HHvzzkaZQzHi4GTWb35UpVW4vRBCKxo3xbBhFZabADyMk4CbyDyboZQ8FPrl	0	0	Video					Lifetime	23	0	23	0	542		533	0	4118.4	8.56	246	22	22		0	11	234	0	0	0	11	39	0	0	2	0	77	13	41	11	3	1	18	10	19	7	39	5	199	47	4	28	26	44	90	52	2			1	1	243	1	
1.22123E+17	2.47904E+14	HU.co		"ISHQ MURSHID 
#ishqmurshid #humtv #bilalabbaskhan #moomalentertainment #farooqrind #mdproductions #durefishansaleem #abdulkhaliqkhan #excitement #masterpaints #bilalabbas #yumnazaidi #wahajali #ayezakhan #humpr #humtvdramas #comingsoon #hibabukhari #sabaqamar #haniaamir #ferozekhan #muneebbutt #minalkhan #ahadrazamir #sajalaly #psu #farhansaeed #terebin #zaranoor #haroonkadwani"	272	2/27/2024 23:02	auto	https://www.facebook.com/hu.4113/posts/pfbid0tvnxCfQvbLm7Uj1VGz4EdXWq6aGfmYUFBMfBj3sREwX1AKrsyLo9pqX2ti5sieJYl	0	0	Video					Lifetime	21	0	21	0	406		384	0	4141.25	11.16	145	15	15		0	13	136	0	0	0	12	33	0	0	3	0	39	4	35	9	7	3	8	3	7	8	15	4	114	31	10	11	15	19	43	44	3	1		2	4	136	1	1
1.22123E+17	2.47904E+14	HU.co		"ISHQ MURSHID
#ishqmurshid #humtv #bilalabbaskhan #moomalentertainment #farooqrind #mdproductions #durefishansaleem #abdulkhaliqkhan #excitement #masterpaints #bilalabbas #yumnazaidi #wahajali #ayezakhan #humpr #humtvdramas #comingsoon #hibabukhari #sabaqamar #haniaamir #ferozekhan #muneebbutt #minalkhan #ahadrazamir #sajalaly #psu #farhansaeed #terebin #zaranoor #haroonkadwani"	140	2/28/2024 6:02	auto	https://www.facebook.com/hu.4113/posts/pfbid02vpskbjHaxfe8R6t1s9soH2kevr46Wbexf8p2tANqmkejyjX51q3SNcmofrNEYzC3l	0	0	Video					Lifetime	36	0	35	1	560		539	0	5982.41	11.55	228	19	19		0	26	219	0	0	0	25	48	0	0	4	1	58	13	51	13	9	5	12	8	17	4	23	10	174	54	14	20	21	33	71	64	5	1	2	5	6	213	1	
1.22123E+17	2.47904E+14	HU.co		"ISHQ MURSHID
#ishqmurshid #humtv #bilalabbaskhan #moomalentertainment #farooqrind #mdproductions #durefishansaleem #abdulkhaliqkhan #excitement #masterpaints #bilalabbas #yumnazaidi #wahajali #ayezakhan #humpr #humtvdramas #comingsoon #hibabukhari #sabaqamar #haniaamir #ferozekhan #muneebbutt #minalkhan #ahadrazamir #sajalaly #psu #farhansaeed #terebin #zaranoor #haroonkadwani"	114	2/28/2024 22:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid0oAPg46R1vnVibadKQjyULfcY2v2AMRL1Wd1BZMPqTL3dQNZDs6bu9D2SrZrrSWrMl	0	0	Video					Lifetime	13	0	13	0	241		227	0	1944.22	8.72	94	7	7		0	10	89	0	0	0	10	20	0	0																														
1.22123E+17	2.47904E+14	HU.co		"ISHQ MURSHID
#ishqmurshid #humtv #bilalabbaskhan #moomalentertainment #farooqrind #mdproductions #durefishansaleem #abdulkhaliqkhan #excitement #masterpaints #bilalabbas #yumnazaidi #wahajali #ayezakhan #humpr #humtvdramas #comingsoon #hibabukhari #sabaqamar #haniaamir #ferozekhan #muneebbutt #minalkhan #ahadrazamir #sajalaly #psu #farhansaeed #terebin #zaranoor #haroonkadwani"	193	2/29/2024 2:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid0ehvsK9YGTXbaVfmSpq8XzjyUhfmdY9r7Yyj2Kjau11FRZ9LS8J1SxJryc2omKzJ2l	0	0	Video					Lifetime	6	0	6	0	134		118	0	811.58	5.88	45	6	6		0	3	35	0	0	0	3	10	0	0																														
1.22125E+17	2.47904E+14	HU.co		"ISHQ MURSHID
#ishqmurshid #humtv #bilalabbaskhan #moomalentertainment #farooqrind #mdproductions #durefishansaleem #abdulkhaliqkhan #excitement #masterpaints #bilalabbas #yumnazaidi #wahajali #ayezakhan #humpr #humtvdramas #comingsoon #hibabukhari #sabaqamar #haniaamir #ferozekhan #muneebbutt #minalkhan #ahadrazamir #sajalaly #psu #farhansaeed #terebin #zaranoor #haroonkadwani"	276	3/5/2024 22:03	auto	https://www.facebook.com/hu.4113/posts/pfbid02DjhAUM6mvEskhnhpNfgTkP6zPsCX1aRtJ8DWYTj3zKhzrM4gCDiVsuGcqutFtWRnl	0	0	Video					Lifetime	9	0	9	0	221		207	0	3012.72	15.29	94	14	14		0	14	86	0	0	0	14	18	0	0																														
1.22126E+17	2.47904E+14	HU.co		"ISHQ MURSHID
#ishqmurshid #humtv #bilalabbaskhan #moomalentertainment #farooqrind #mdproductions #durefishansaleem #abdulkhaliqkhan #excitement #masterpaints #bilalabbas #yumnazaidi #wahajali #ayezakhan #humpr #humtvdramas #comingsoon #hibabukhari #sabaqamar #haniaamir #ferozekhan #muneebbutt #minalkhan #ahadrazamir #sajalaly #psu #farhansaeed #terebin #zaranoor #haroonkadwani"	275	3/6/2024 5:03	N/A	https://www.facebook.com/hu.4113/posts/pfbid02xdAuBH4MYu7sfCMAiq7aNHkMeuXmV7RW89R3TRerHovQsgdPxc8byJnX5AjhdY2Kl	0	0	Video					Lifetime	5	0	5	0	77		64	0	704.47	10.84	32	0			0	2	29	0	0	0	2	5	0	0																														
1.22126E+17	2.47904E+14	HU.co		"ISHQ MURSHID
#ishqmurshid #humtv #bilalabbaskhan #moomalentertainment #farooqrind #mdproductions #durefishansaleem #abdulkhaliqkhan #excitement #masterpaints #bilalabbas #yumnazaidi #wahajali #ayezakhan #humpr #humtvdramas #comingsoon #hibabukhari #sabaqamar #haniaamir #ferozekhan #muneebbutt #minalkhan #ahadrazamir #sajalaly #psu #farhansaeed #terebin #zaranoor #haroonkadwani"	209	3/6/2024 8:03	N/A	https://www.facebook.com/hu.4113/posts/pfbid0P1mm27aXRewZzyVPUy5zAwe8e1UFbhHP7zaBCWn1VRUKZTbmA8rZeaoUTFKmQYUFl	0	0	Video					Lifetime	10	0	10	0	126		113	0	1653.25	13.66	62	6	6		0	6	57	0	0	0	6	15	0	0																														
1.22126E+17	2.47904E+14	HU.co		"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending"	127	3/6/2024 23:03	N/A	https://www.facebook.com/hu.4113/posts/pfbid0jLuwj5p5C7nkUsBbyq8TSrUJgiuWGTYHzALmyT8h4LwP75oe3YGZkG5evUN5UpUvl	0	0	Video					Lifetime	5	0	5	0	63		52	0	457	7.75	19	1	1		0	2	15	0	0	0	2	5	0	0																														
